"","x"
"334","Snhg5"
"335","Snhg9"
"336","Snord104"
"337","Sod3"
"338","Son"
"339","Sox2"
"340","Sox21"
"341","Sox9"
"342","Sparcl1"
"343","Srsf1"
"344","Srsf5"
"345","Ssbp1"
"346","Ssr3"
"347","Suclg1"
"348","Sult1a1"
"349","Tcta"
"350","Thrsp"
"351","Timm21"
"352","Timp4"
"353","Tlcd1"
"354","Tmbim4"
"355","Tmed1"
"356","Tmed3"
"357","Tmed5"
"358","Tmem100"
"359","Tmem115"
"360","Tmem128"
"361","Tmem129"
"362","Tmem176a"
"363","Tmem176b"
"364","Tmem185b"
"365","Tmem229a"
"366","Tmem47"
"367","Tmem60"
"368","Tob1"
"369","Toporsos"
"370","Tpp1"
"371","Tprkb"
"372","Tril"
"373","Tsc22d4"
"374","Tspan31"
"375","Tspan7"
"376","Tst"
"377","Ttc14"
"378","Ttyh1"
"379","Tubb2b"
"380","Ubc"
"381","Utp14b"
"382","Vcam1"
"383","Vegfa"
"384","Vegfb"
"385","Vimp"
"386","Wbp1"
"387","Wdr5b"
"388","Wsb1"
"389","Yif1a"
"390","Zfp207"
"391","Zfp36l1"
"392","Zfp36l2"
"393","Zfp414"
"394","Zfp511"
"395","Zfyve21"
"396","0610037L13Rik"
"397","1700020I14Rik"
"398","1810011O10Rik"
"399","1810037I17Rik"
"400","8430408G22Rik"
"401","9430020K01Rik"
"402","AI467606"
"403","AU021092"
"404","AW112010"
"405","Abcg2"
"406","Actb"
"407","Actg1"
"408","Acvrl1"
"409","Adam15"
"410","Adamts1"
"411","Adipor1"
"412","Adrb2"
"413","Alas1"
"414","Anxa2"
"415","Anxa3"
"416","Anxa5"
"417","Ap3s1"
"418","Apold1"
"419","Aqp11"
"420","Arf6"
"421","Arhgdia"
"422","Arl2bp"
"423","Arl4a"
"424","Arl4d"
"425","Arpc1b"
"426","Arpc2"
"427","Atox1"
"428","B2m"
"429","B4galt4"
"430","BC028528"
"431","Bcam"
"432","Bnip2"
"433","Bsg"
"434","Bst2"
"435","Btg2"
"436","Car4"
"437","Cav1"
"438","Cav2"
"439","Ccdc85b"
"440","Ccnd3"
"441","Cd151"
"442","Cd34"
"443","Cd59a"
"444","Cd93"
"445","Cdc42ep1"
"446","Cdc42se1"
"447","Cdkn1a"
"448","Cdkn1c"
"449","Ceacam1"
"450","Cenpb"
"451","Cers2"
"452","Cggbp1"
"453","Chmp2a"
"454","Chrac1"
"455","Cldn5"
"456","Clec14a"
"457","Clic1"
"458","Clic4"
"459","Cnn2"
"460","Commd5"
"461","Coro1b"
"462","Cracr2b"
"463","Crip2"
"464","Ctla2a"
"465","Ctla2b"
"466","Ctnnb1"
"467","Ctsh"
"468","Cxcl12"
"469","Cxx1a"
"470","Cxx1b"
"471","Cyb5r1"
"472","Cyb5r3"
"473","Cyba"
"474","Cyr61"
"475","Ddah2"
"476","Ddx39"
"477","Degs2"
"478","Dnajb1"
"479","Dnpep"
"480","Dram2"
"481","Dusp1"
"482","Dusp23"
"483","Dusp6"
"484","Ecm1"
"485","Ecscr"
"486","Edn1"
"487","Egfl7"
"488","Eif3a"
"489","Eif3f"
"490","Elovl1"
"491","Eogt"
"492","Esam"
"493","Eva1b"
"494","F11r"
"495","Fam101b"
"496","Fam212a"
"497","Fam63a"
"498","Fbxo6"
"499","Fcgrt"
"500","Fkbp4"
"501","Foxc1"
"502","Foxf2"
"503","Foxq1"
"504","Ftl1"
"505","Fxyd5"
"506","Fzd4"
"507","Gatm"
"508","Gbp3"
"509","Gbp4"
"510","Gbp7"
"511","Gemin7"
"512","Gimap1"
"513","Gimap6"
"514","Gltp"
"515","Gm10076"
"516","Gm694"
"517","Gna11"
"518","Gnai2"
"519","Gng11"
"520","Gpcpd1"
"521","Gpr4"
"522","Gps2"
"523","Gpx1"
"524","Grap"
"525","Grasp"
"526","Gsta4"
"527","Gstm7"
"528","H3f3a"
"529","H3f3b"
"530","Herpud1"
"531","Hhex"
"532","Hilpda"
"533","Hist1h4d"
"534","Hist2h4"
"535","Hmgn1"
"536","Hrct1"
"537","Hspa1b"
"538","Hspb1"
"539","Hyal1"
"540","Hyal2"
"541","Icam2"
"542","Id1"
"543","Id3"
"544","Ier2"
"545","Ier3"
"546","Ier5l"
"547","Ifi27"
"548","Ifi35"
"549","Ifit1"
"550","Ifit3"
"551","Ifitm2"
"552","Ifitm3"
"553","Igfbp7"
"554","Igtp"
"555","Il10rb"
"556","Impdh1"
"557","Irf1"
"558","Irf2bpl"
"559","Irf7"
"560","Irf9"
"561","Irgm1"
"562","Irgm2"
"563","Isg15"
"564","Isyna1"
"565","Itm2a"
"566","Ivns1abp"
"567","Jmjd6"
"568","Jund"
"569","Kank3"
"570","Klf10"
"571","Klf2"
"572","Klf4"
"573","Klf6"
"574","Krtcap2"
"575","Kti12"
"576","Laptm4a"
"577","Leprot"
"578","Lgals9"
"579","Lims2"
"580","Lmo2"
"581","Lrp10"
"582","Lsm10"
"583","Lsm2"
"584","Lsr"
"585","Ltbp4"
"586","Ly6a"
"587","Ly6c1"
"588","Ly6e"
"589","M6pr"
"590","Mal"
"591","Mapk3"
"592","Mcl1"
"593","Mgat2"
"594","Mgp"
"595","Mif4gd"
"596","Mpzl1"
"597","Myadm"
"598","Myl12a"
"599","Myl12b"
"600","Myl6"
"601","N4bp3"
"602","Nes"
"603","Nfkbia"
"604","Nme2"
"605","Nos3"
"606","Nr1h2"
"607","Nras"
"608","Nxt1"
"609","Ost4"
"610","P4hb"
"611","Pak1ip1"
"612","Pcp4l1"
"613","Pdcl3"
"614","Pglyrp1"
"615","Pim3"
"616","Plat"
"617","Pllp"
"618","Pltp"
"619","Podxl"
"620","Pole3"
"621","Ppapdc1b"
"622","Ppapdc2"
"623","Ppdpf"
"624","Ppp1r15a"
"625","Ppp1r2"
"626","Ppp4c"
"627","Prss23"
"628","Psmb10"
"629","Psmb8"
"630","Psmb9"
"631","Psme1"
"632","Psme2"
"633","Ptma"
"634","Rab11a"
"635","Rab1b"
"636","Rac1"
"637","Ramp2"
"638","Rap1a"
"639","Rap1b"
"640","Rasd1"
"641","Rasip1"
"642","Rassf1"
"643","Rbm6"
"644","Rbm7"
"645","Rbm8a"
"646","Rce1"
"647","Rexo2"
"648","Rhoa"
"649","Rhob"
"650","Rhoc"
"651","Ric8"
"652","Rnaseh2c"
"653","Robo4"
"654","Rpl13"
"655","Rpl18"
"656","Rpl18a"
"657","Rpl38"
"658","Rpl8"
"659","Rplp0"
"660","Rps14"
"661","Rps18"
"662","Rps19"
"663","Rps20"
"664","Rps27"
"665","Rps27l"
"666","Rps4l"
"667","Rras"
"668","Rtp4"
"669","S100a11"
"670","Sdcbp"
"671","Sdpr"
"672","Serinc3"
"673","Serpinh1"
"674","Sertad1"
"675","Sft2d3"
"676","Sh3bgrl3"
"677","Shfm1"
"678","Shisa5"
"679","Sigirr"
"680","Sike1"
"681","Slc16a1"
"682","Slc16a4"
"683","Slc22a8"
"684","Slc2a1"
"685","Slc30a1"
"686","Slc31a1"
"687","Slc38a5"
"688","Slc40a1"
"689","Slc50a1"
"690","Slc52a2"
"691","Slc52a3"
"692","Slc7a5"
"693","Slc9a3r2"
"694","Slco1a4"
"695","Slfn5"
"696","Snai2"
"697","Snrpb"
"698","Snx3"
"699","Sox17"
"700","Sox18"
"701","Sox7"
"702","Sparc"
"703","Spock2"
"704","Spr"
"705","Sptssa"
"706","Srgn"
"707","Sri"
"708","Srpr"
"709","Srsf2"
"710","Srsf9"
"711","Ssrp1"
"712","St6galnac2"
"713","Stap2"
"714","Stra13"
"715","Surf4"
"716","Syf2"
"717","Syngr2"
"718","Sypl"
"719","Taf10"
"720","Taf7"
"721","Tagln2"
"722","Tapbp"
"723","Tax1bp3"
"724","Tcn2"
"725","Tdrp"
"726","Tex261"
"727","Tfrc"
"728","Thap11"
"729","Thbd"
"730","Tinagl1"
"731","Tm4sf1"
"732","Tmem123"
"733","Tmem203"
"734","Tmem204"
"735","Tmem252"
"736","Tmem88"
"737","Tmem98"
"738","Tmsb10"
"739","Tmsb4x"
"740","Tnfaip1"
"741","Tnfrsf12a"
"742","Tpm4"
"743","Tpra1"
"744","Tprgl"
"745","Trim47"
"746","Tsc22d1"
"747","Tspan13"
"748","Tspo"
"749","Txndc17"
"750","Txnip"
"751","Ube2d3"
"752","Ubxn1"
"753","Ucp2"
"754","Ushbp1"
"755","Vamp3"
"756","Vamp8"
"757","Vim"
"758","Vwa1"
"759","Wdr46"
"760","Wfdc1"
"761","Xaf1"
"762","Ybx1"
"763","Zfp358"
"764","Zfp422"
"765","Zfp830"
"766","1110008P14Rik"
"767","2010107G23Rik"
"768","2610524H06Rik"
"769","2810029C07Rik"
"770","2900055J20Rik"
"771","6330403K07Rik"
"772","A430005L14Rik"
"773","A830010M20Rik"
"774","AI593442"
"775","Abhd17a"
"776","Abhd8"
"777","Acd"
"778","Ackr1"
"779","Acta1"
"780","Actr1b"
"781","Ap1s1"
"782","Apbb1"
"783","Aplp1"
"784","Apoo"
"785","Arc"
"786","Arf5"
"787","Arfip2"
"788","Arl1"
"789","Arpc5"
"790","Arpc5l"
"791","Arpp19"
"792","Atp1a1"
"793","Atp6v1b2"
"794","Atp6v1d"
"795","B4galnt1"
"796","Bag5"
"797","Bex2"
"798","Bhlhe22"
"799","Bod1"
"800","C1qtnf4"
"801","Calb1"
"802","Calm1"
"803","Calm2"
"804","Calm3"
"805","Caly"
"806","Camk2n1"
"807","Camk2n2"
"808","Camkv"
"809","Capza2"
"810","Car11"
"811","Cck"
"812","Cckbr"
"813","Cdk5r1"
"814","Cdr1"
"815","Chgb"
"816","Chn1"
"817","Chpf"
"818","Chst1"
"819","Cinp"
"820","Cited4"
"821","Coro1a"
"822","Cplx2"
"823","Cpne6"
"824","Ctxn1"
"825","Cx3cl1"
"826","Cyp46a1"
"827","Dbpht2"
"828","Ddn"
"829","Ddx28"
"830","Dusp14"
"831","Dusp26"
"832","Dynll1"
"833","E130012A19Rik"
"834","Egr4"
"835","Eif4a1"
"836","Emc4"
"837","Enc1"
"838","Ensa"
"839","F8a"
"840","Fabp3"
"841","Fam131a"
"842","Fam134a"
"843","Fam213b"
"844","Fam84a"
"845","Fbxl15"
"846","Fbxl16"
"847","Fgfr1op2"
"848","Fkbp1a"
"849","Fxyd7"
"850","Gabra1"
"851","Gabrd"
"852","Gadd45b"
"853","Gfra4"
"854","Gm10419"
"855","Gm11549"
"856","Gmppb"
"857","Gng13"
"858","Gpr22"
"859","Gpr85"
"860","Gpr88"
"861","H2afx"
"862","Hist3h2ba"
"863","Hn1"
"864","Hpca"
"865","Hpcal4"
"866","Hras"
"867","Hspb3"
"868","Icam5"
"869","Ift20"
"870","Ift22"
"871","Igfbp6"
"872","Itm2c"
"873","Itpa"
"874","Itpka"
"875","Kcnf1"
"876","Kcnv1"
"877","Kifc2"
"878","Klhdc3"
"879","Lamp5"
"880","Limd2"
"881","Lin37"
"882","Lin7b"
"883","Lmo4"
"884","Lpcat4"
"885","Lrrc57"
"886","Ly6h"
"887","Mal2"
"888","Mapk1"
"889","Mapk11"
"890","Mat2b"
"891","Matk"
"892","Minpp1"
"893","Mir22hg"
"894","Mkrn1"
"895","Mlf2"
"896","Mlx"
"897","Mpc2"
"898","Mrpl16"
"899","Mtch1"
"900","Mtfp1"
"901","Mtpn"
"902","Nap1l1"
"903","Napa"
"904","Nat14"
"905","Ncdn"
"906","Nefl"
"907","Nefm"
"908","Neu1"
"909","Neurod1"
"910","Nhp2"
"911","Nhp2l1"
"912","Nlk"
"913","Nov"
"914","Nptn"
"915","Nptx2"
"916","Nrgn"
"917","Nrn1"
"918","Nsg1"
"919","Ociad2"
"920","Olfm1"
"921","Pard6a"
"922","Pdp1"
"923","Pea15a"
"924","Pim2"
"925","Pin1"
"926","Pld3"
"927","Plk2"
"928","Pnmal2"
"929","Polr2e"
"930","Pop5"
"931","Ppp1r1a"
"932","Ppp2ca"
"933","Ppp3r1"
"934","Prrt1"
"935","Prrt2"
"936","Ptgs2"
"937","Ptms"
"938","R3hdm4"
"939","Rasl10a"
"940","Rasl11b"
"941","Rbbp7"
"942","Rgs4"
"943","Rheb"
"944","Rnd1"
"945","Rnf112"
"946","Rnf208"
"947","Rpl29"
"948","Rprml"
"949","Rpusd1"
"950","Rtn1"
"951","Rundc3a"
"952","Scg5"
"953","Scn1b"
"954","Sept5"
"955","Sh3glb2"
"956","Slc17a7"
"957","Slc7a4"
"958","Smim7"
"959","Snap25"
"960","Snapc2"
"961","Snhg6"
"962","Sowaha"
"963","Spata2l"
"964","Spcs3"
"965","Sprn"
"966","Stk19"
"967","Stmn4"
"968","Stx1a"
"969","Sub1"
"970","Syt4"
"971","Syt5"
"972","Tfdp1"
"973","Tmem107"
"974","Tmem151a"
"975","Tmem158"
"976","Tmem191c"
"977","Tmem198"
"978","Tmem215"
"979","Tmem246"
"980","Tmem30a"
"981","Tmem35"
"982","Tmem59l"
"983","Tpgs1"
"984","Tpt1"
"985","Tsnax"
"986","Ttc3"
"987","Tuba4a"
"988","Tubg2"
"989","Ubald1"
"990","Ubl4"
"991","Uchl1"
"992","Vma21"
"993","Vti1b"
"994","Wbp2"
"995","Yrdc"
"996","Ywhae"
"997","Ywhah"
"998","Ywhaz"
"999","Zbtb18"
"1000","Zfand5"
"1001","Zfp148"
"1002","Zfp580"
"1003","Zmat2"
"1004","Znhit3"
"1005","2510002D24Rik"
"1006","2900097C17Rik"
"1007","4933439C10Rik"
"1008","5730409E04Rik"
"1009","9330151L19Rik"
"1010","AI837181"
"1011","Adcyap1"
"1012","Adrb1"
"1013","Akap5"
"1014","Arf3"
"1015","Arhgef25"
"1016","Atp2a2"
"1017","Atp6v1g1"
"1018","Atxn7l3b"
"1019","Avpi1"
"1020","B230217C12Rik"
"1021","B3galnt1"
"1022","B3gat3"
"1023","BC030499"
"1024","Cbln4"
"1025","Cbx6"
"1026","Ccdc124"
"1027","Ccl27a"
"1028","Ccng1"
"1029","Chd3os"
"1030","Clip3"
"1031","Csnk2b"
"1032","Ddrgk1"
"1033","Dkkl1"
"1034","Dmtn"
"1035","Dnajb5"
"1036","Dnm1"
"1037","Dos"
"1038","Egr1"
"1039","Fam43b"
"1040","Fmnl1"
"1041","Galt"
"1042","Gm17322"
"1043","Gnb2"
"1044","Gpr12"
"1045","Hmgb1"
"1046","Hnrnpa0"
"1047","Hnrnpu"
"1048","Hsph1"
"1049","Idh3g"
"1050","Ier5"
"1051","Kcnj9"
"1052","Krt12"
"1053","Llph"
"1054","Lrrc4"
"1055","Lynx1"
"1056","Lzts3"
"1057","Marcks"
"1058","Meg3"
"1059","Miat"
"1060","Mir6240"
"1061","Napb"
"1062","Ndfip1"
"1063","Neurod2"
"1064","Neurod6"
"1065","Nkiras1"
"1066","Nptx1"
"1067","Nrep"
"1068","Nrsn1"
"1069","Nudt4"
"1070","Otud1"
"1071","Peg13"
"1072","Polr2i"
"1073","Polr2l"
"1074","Pomp"
"1075","Ptprn"
"1076","Pura"
"1077","Purb"
"1078","R3hdm1"
"1079","Rab6a"
"1080","Reep2"
"1081","Rpl12"
"1082","S100a10"
"1083","Sac3d1"
"1084","Sepw1"
"1085","Sfxn3"
"1086","Snhg11"
"1087","Sowahb"
"1088","Spsb3"
"1089","Stmn1"
"1090","Stxbp1"
"1091","Syp"
"1092","Tagln3"
"1093","Tceal6"
"1094","Thap7"
"1095","Thy1"
"1096","Tmem145"
"1097","Trim32"
"1098","Tspyl1"
"1099","Tspyl5"
"1100","Ubqln2"
"1101","Uqcc2"
"1102","Usf2"
"1103","Vgf"
"1104","Ywhag"
"1105","Zfp281"
"1106","Zranb2"
"1107","3110035E14Rik"
"1108","Aldoa"
"1109","Ap2m1"
"1110","Ap2s1"
"1111","Arhgdig"
"1112","Arhgef4"
"1113","Arl8a"
"1114","Atp6v0e2"
"1115","Atp6v1a"
"1116","Atp6v1c1"
"1117","Atp6v1g2"
"1118","Atpif1"
"1119","Basp1"
"1120","Bnip3"
"1121","Cdipt"
"1122","Cep19"
"1123","Cfl1"
"1124","Chchd10"
"1125","Chga"
"1126","Cnih2"
"1127","Cplx1"
"1128","Cuedc2"
"1129","Cyth2"
"1130","Dctn3"
"1131","Dohh"
"1132","Efhd2"
"1133","Eid1"
"1134","Eid2"
"1135","Eno1"
"1136","Eno2"
"1137","Fam103a1"
"1138","Fastk"
"1139","Fezf2"
"1140","Fkbp3"
"1141","Gabarapl1"
"1142","Gde1"
"1143","Gng3"
"1144","Got2"
"1145","Idh3a"
"1146","Klc1"
"1147","Klhdc2"
"1148","Ldha"
"1149","Map1lc3a"
"1150","Marcksl1"
"1151","Mcts1"
"1152","Mff"
"1153","Mgst3"
"1154","Mif"
"1155","Nap1l2"
"1156","Ndnl2"
"1157","Ndrg3"
"1158","Ndrg4"
"1159","Nme1"
"1160","Nudt18"
"1161","Pcp4"
"1162","Pgk1"
"1163","Polr3k"
"1164","Ppia"
"1165","Prelid1"
"1166","Rab26"
"1167","Rab3a"
"1168","Rprm"
"1169","Serinc1"
"1170","Shisa4"
"1171","Slc25a22"
"1172","Snap47"
"1173","Snca"
"1174","Sncb"
"1175","Sstr2"
"1176","Stmn2"
"1177","Stmn3"
"1178","Sult4a1"
"1179","Tcf25"
"1180","Tmem160"
"1181","Tmem25"
"1182","Tmem42"
"1183","Tpi1"
"1184","Ttc9b"
"1185","Tubb3"
"1186","Tubb4a"
"1187","Tubb4b"
"1188","Tubb5"
"1189","Tusc2"
"1190","Usp14"
"1191","Vamp2"
"1192","Ypel3"
"1193","1110032F04Rik"
"1194","1500011K16Rik"
"1195","1700037H04Rik"
"1196","2010107E04Rik"
"1197","2310033P09Rik"
"1198","2310061I04Rik"
"1199","2410015M20Rik"
"1200","AI413582"
"1201","Acot13"
"1202","Arl16"
"1203","Arl6ip4"
"1204","Atg101"
"1205","Atp1a3"
"1206","Atp1b1"
"1207","Atp5b"
"1208","Atp5d"
"1209","Atp5f1"
"1210","Atp5g1"
"1211","Atp5g3"
"1212","Atp5j2"
"1213","Atp5k"
"1214","Atp5o"
"1215","B3galt2"
"1216","Bscl2"
"1217","Cdk5"
"1218","Cdkn2d"
"1219","Cend1"
"1220","Ckmt1"
"1221","Cox5a"
"1222","Cox5b"
"1223","Cox6c"
"1224","Cox7b"
"1225","Crym"
"1226","Cyb561"
"1227","Cyc1"
"1228","Cycs"
"1229","Dld"
"1230","Dynlt3"
"1231","Eif1ad"
"1232","Emc9"
"1233","Esd"
"1234","Fam216a"
"1235","Fcor"
"1236","Gap43"
"1237","Glrx2"
"1238","Gm10250"
"1239","Gm1673"
"1240","Gnb5"
"1241","Got1"
"1242","Guk1"
"1243","Hagh"
"1244","Hsp90aa1"
"1245","Idh3b"
"1246","Igfbp4"
"1247","Ina"
"1248","Isca1"
"1249","Map1b"
"1250","Mdh1"
"1251","Mdh2"
"1252","Mllt11"
"1253","Mrpl12"
"1254","Mrpl44"
"1255","Mrpl46"
"1256","Mrps2"
"1257","Ndufa10"
"1258","Ndufa11"
"1259","Ndufa9"
"1260","Ndufab1"
"1261","Ndufb3"
"1262","Ndufb5"
"1263","Ndufb8"
"1264","Ndufs3"
"1265","Ndufv1"
"1266","Ndufv2"
"1267","Nrsn2"
"1268","Nudt19"
"1269","Pdcd6"
"1270","Pdha1"
"1271","Pdhb"
"1272","Pgam1"
"1273","Pkm"
"1274","Pnpo"
"1275","Polr2h"
"1276","Pou3f1"
"1277","Prdx3"
"1278","Prepl"
"1279","Prkcg"
"1280","Ptges2"
"1281","Rabggta"
"1282","Rgs19"
"1283","Rwdd2a"
"1284","Sdhb"
"1285","Sdr39u1"
"1286","Slc25a11"
"1287","Slc25a3"
"1288","Slc5a5"
"1289","Smim12"
"1290","Sucla2"
"1291","Timm17a"
"1292","Timm8b"
"1293","Tmem147"
"1294","Tmx2"
"1295","Tram1l1"
"1296","Trappc2l"
"1297","Tspan6"
"1298","Uqcr10"
"1299","Uqcr11"
"1300","Uqcrc1"
"1301","Uqcrc2"
"1302","Uqcrfs1"
"1303","Usmg5"
"1304","Vdac1"
"1305","Vps29"
"1306","Znhit1"
"1307","4833439L19Rik"
"1308","Arpc1a"
"1309","Arpc3"
"1310","Atp6ap2"
"1311","B4gat1"
"1312","Brk1"
"1313","Cisd3"
"1314","Gadd45a"
"1315","Gmfb"
"1316","Gpi1"
"1317","Hsp90ab1"
"1318","Kcna1"
"1319","Lrrtm2"
"1320","Lsm8"
"1321","Ly6d"
"1322","Med10"
"1323","Mien1"
"1324","Ndfip2"
"1325","Ndufa5"
"1326","Necab3"
"1327","Npdc1"
"1328","Ogfrl1"
"1329","Ppp1ca"
"1330","Ppp1r1b"
"1331","Psip1"
"1332","Rogdi"
"1333","Sept3"
"1334","Sept7"
"1335","Tbcc"
"1336","Tbr1"
"1337","Tmem38a"
"1338","Tpbg"
"1339","1810026J23Rik"
"1340","Ankrd46"
"1341","Aprt"
"1342","Arl6ip1"
"1343","Gng2"
"1344","Hsbp1"
"1345","Kctd6"
