"","x"
"1","1110001J03Rik"
"2","1500015A07Rik"
"3","1600012H06Rik"
"4","1700096K18Rik"
"5","1700123O20Rik"
"6","2010320M18Rik"
"7","2310039H08Rik"
"8","2610306M01Rik"
"9","2810013P06Rik"
"10","4632427E13Rik"
"11","4933431E20Rik"
"12","5031425E22Rik"
"13","5830454E08Rik"
"14","9330159F19Rik"
"15","A330048O09Rik"
"16","AI464131"
"17","AW047730"
"18","Abhd11"
"19","Abhd14b"
"20","Acaa1a"
"21","Acadvl"
"22","Acsbg1"
"23","Acsl3"
"24","Acy1"
"25","Ahcyl1"
"26","Aldoc"
"27","Alg3"
"28","Alkbh7"
"29","Ankrd9"
"30","Ap3m1"
"31","Ap5s1"
"32","Apc"
"33","Apoe"
"34","Appl2"
"35","Aqp4"
"36","Arhgap5"
"37","Arxes2"
"38","Atp1a2"
"39","Atp1b2"
"40","Atp6v0e"
"41","Atraid"
"42","B930095G15Rik"
"43","BC005561"
"44","BC029214"
"45","Bambi"
"46","Bbs10"
"47","Bcan"
"48","Bhlhe40"
"49","Bloc1s1"
"50","Bmyc"
"51","Btbd17"
"52","Btg1"
"53","C630043F03Rik"
"54","Car2"
"55","Cbs"
"56","Ccdc28b"
"57","Ccdc50"
"58","Ccnl1"
"59","Ccnl2"
"60","Cd320"
"61","Cd63"
"62","Cd81"
"63","Chst2"
"64","Cib1"
"65","Ckb"
"66","Cldn10"
"67","Clk1"
"68","Clk4"
"69","Clu"
"70","Cml1"
"71","Cml5"
"72","Cmtm5"
"73","Cnn3"
"74","Cpe"
"75","Crebzf"
"76","Csdc2"
"77","Cspg5"
"78","Csrp1"
"79","Cst3"
"80","Ctsf"
"81","Cxcl14"
"82","Cyp2d22"
"83","Cyp2j9"
"84","Cyp4f15"
"85","D330023K18Rik"
"86","Dalrd3"
"87","Dancr"
"88","Dazap2"
"89","Dbi"
"90","Dcxr"
"91","Ddit4l"
"92","Ddt"
"93","Ddx17"
"94","Ddx5"
"95","Dhrs1"
"96","Dhrs7"
"97","Dio2"
"98","Dnajb9"
"99","Dnmt3a"
"100","Dolk"
"101","Dtx3"
"102","Ech1"
"103","Echs1"
"104","Eci1"
"105","Emc3"
"106","Emd"
"107","Enho"
"108","Entpd2"
"109","Etfb"
"110","F3"
"111","Fabp5"
"112","Fabp7"
"113","Fahd1"
"114","Fam107a"
"115","Fam120aos"
"116","Fam195a"
"117","Fam213a"
"118","Fam58b"
"119","Fbxl6"
"120","Fbxo2"
"121","Fbxo44"
"122","Fdps"
"123","Fgfbp3"
"124","Fgfr3"
"125","Fibp"
"126","Fjx1"
"127","Fndc4"
"128","Foxg1"
"129","Fuom"
"130","Fxyd1"
"131","Fzd2"
"132","Fzd9"
"133","G0s2"
"134","G6pc3"
"135","Gadd45g"
"136","Gale"
"137","Gas1"
"138","Gas5"
"139","Gatsl3"
"140","Gcsh"
"141","Gdpd2"
"142","Gfap"
"143","Ginm1"
"144","Gja1"
"145","Gjb6"
"146","Glmp"
"147","Glul"
"148","Gm11627"
"149","Gm266"
"150","Gm3764"
"151","Gm5617"
"152","Gm9925"
"153","Gng5"
"154","Gpaa1"
"155","Gpr37l1"
"156","Gpt"
"157","Gpx8"
"158","Grina"
"159","Gstk1"
"160","Gstm1"
"161","Gstm5"
"162","Haghl"
"163","Hddc3"
"164","Hepacam"
"165","Hes1"
"166","Hes5"
"167","Hey1"
"168","Hist1h1c"
"169","Hist1h2bc"
"170","Hist1h4h"
"171","Hist1h4i"
"172","Hmgcs1"
"173","Hmgn3"
"174","Hnrnpa2b1"
"175","Hnrnpdl"
"176","Hrsp12"
"177","Hsd17b10"
"178","Hsd3b7"
"179","Hspa2"
"180","Hspa5"
"181","Htra1"
"182","Id2"
"183","Id4"
"184","Ift27"
"185","Igfbp2"
"186","Il18"
"187","Ilk"
"188","Isca2"
"189","Ist1"
"190","Itih3"
"191","Jtb"
"192","Jun"
"193","Kansl2"
"194","Kcnk1"
"195","Lcat"
"196","Ldhb"
"197","Leng9"
"198","Lpar6"
"199","Lxn"
"200","Lypla2"
"201","Lyrm5"
"202","Mageh1"
"203","Malat1"
"204","Mat2a"
"205","Mdk"
"206","Med7"
"207","Metrn"
"208","Mfge8"
"209","Mfsd2a"
"210","Mfsd5"
"211","Mid1ip1"
"212","Miip"
"213","Mlc1"
"214","Mmd2"
"215","Mocs2"
"216","Mpv17"
"217","Mpv17l2"
"218","Mrps17"
"219","Msmo1"
"220","Mt1"
"221","Mt2"
"222","Mt3"
"223","Naprt"
"224","Nat8"
"225","Ndrg2"
"226","Ndufaf4"
"227","Neat1"
"228","Nkain4"
"229","Nr1d1"
"230","Nrarp"
"231","Nrbp2"
"232","Nsmf"
"233","Ntsr2"
"234","Nudt8"
"235","Nupr1"
"236","Oaf"
"237","Oat"
"238","Ogt"
"239","Omg"
"240","Oxld1"
"241","Pabpn1"
"242","Paqr4"
"243","Paqr7"
"244","Pbxip1"
"245","Pcyt2"
"246","Pdlim4"
"247","Pex13"
"248","Pgp"
"249","Phpt1"
"250","Phyh"
"251","Pigc"
"252","Pla2g7"
"253","Plcd4"
"254","Pmm1"
"255","Pnisr"
"256","Pnn"
"257","Pnpla2"
"258","Pnrc2"
"259","Pold4"
"260","Polr3h"
"261","Pou3f2"
"262","Pou3f3"
"263","Pou3f4"
"264","Ppap2b"
"265","Ppib"
"266","Ppox"
"267","Ppp1r14b"
"268","Ppp1r3c"
"269","Ppp1r3d"
"270","Ppp1r3g"
"271","Prdx1"
"272","Prdx6"
"273","Prkcdbp"
"274","Prnp"
"275","Prodh"
"276","Psat1"
"277","Ptn"
"278","Ptpmt1"
"279","Pts"
"280","Pttg1"
"281","Pttg1ip"
"282","Pyurf"
"283","Rab24"
"284","Rab26os"
"285","Rab34"
"286","Rbbp9"
"287","Rbm39"
"288","Rbmx"
"289","Rcn2"
"290","Rgcc"
"291","Rn7sk"
"292","Rnf113a2"
"293","Rnf215"
"294","Rnpc3"
"295","Rny1"
"296","Rny3"
"297","Rpph1"
"298","Rps6kb2"
"299","Rrs1"
"300","Rsrp1"
"301","S100a1"
"302","S100a13"
"303","S100a16"
"304","S100a6"
"305","S100b"
"306","S1pr1"
"307","Sat1"
"308","Sat2"
"309","Sc5d"
"310","Scd2"
"311","Scg3"
"312","Scp2"
"313","Sdf2"
"314","Sepp1"
"315","Sigmar1"
"316","Sirt7"
"317","Slc1a2"
"318","Slc1a3"
"319","Slc25a1"
"320","Slc25a18"
"321","Slc27a1"
"322","Slc38a3"
"323","Slc3a2"
"324","Slc48a1"
"325","Slc6a1"
"326","Slc7a10"
"327","Slc9a3r1"
"328","Slco1c1"
"329","Smpd1"
"330","Smpd2"
"331","Smpdl3a"
"332","Snapin"
"333","Snhg3"
